,A,B,C,D,E,F
0,1.0,0.0,1.8604322572563536,-0.6451743833834331,0.13956774274364644,0.0
1,3.0,0.0,0.9290200573707496,-0.5236362738192902,0.0709799426292504,0.0
2,1.0,-0.0,-1.6701127176471195,2.1457623604556817,-0.32988728235288045,0.0
3,1.0,-0.0,-1.4388091177715812,1.4478458634509341,-0.5611908822284188,0.0
4,3.0,0.0,0.7999477960861846,0.5413866127721164,0.20005220391381537,0.0
5,3.0,-0.0,-0.9186873572492538,0.1999408402302746,-0.08131264275074622,0.0
6,3.0,-0.0,-1.51180728139584,1.6426540629831934,0.5118072813958401,0.0
7,3.0,-0.0,-1.0300437281070545,1.5570051911650191,0.03004372810705445,0.0
8,1.0,-0.0,-1.324685302325836,0.8434368400167263,-0.6753146976741641,0.0
9,1.0,-0.0,-0.9228967829879622,1.827388037859424,-0.0771032170120378,0.0
10,3.0,0.0,2.1939937324479635,1.258436487114122,-0.19399373244796347,0.0
11,3.0,-0.0,-1.6657291026641297,2.199235399927464,-0.33427089733587034,0.0
12,1.0,-0.0,-1.0557995420510469,0.028976096398268703,0.055799542051046924,0.0
13,1.0,0.0,0.04043691820270348,1.5323809123113217,-0.04043691820270348,0.0
14,3.0,-0.0,-1.8453982241331823,2.2510836744474867,-0.15460177586681775,0.0
15,3.0,-0.0,-1.0688369978534462,0.7297526515474997,0.06883699785344632,0.0
16,1.0,0.0,1.9514721883397248,0.7939861622430124,0.04852781166027523,0.0
17,1.0,0.0,1.838062277298066,1.8061265715467734,0.16193772270193407,0.0
18,1.0,0.0,0.7168413536477596,2.4112301386824173,0.2831586463522405,0.0
19,1.0,-0.0,-1.7490375473939785,1.0846019340732829,-0.25096245260602146,0.0
20,1.0,-0.0,-0.9414079893401126,1.5189166925822355,-0.05859201065988739,0.0
21,1.0,-0.0,-1.8384732041916596,2.1019183491917723,-0.1615267958083403,0.0
22,3.0,-0.0,-2.0325692577835115,1.8582709586837507,0.03256925778351153,0.0
23,1.0,-0.0,-1.7651292970466552,1.0744247334735886,-0.2348707029533447,0.0
24,3.0,-0.0,-2.6512851273391,2.504422274886124,0.6512851273390999,0.0
25,3.0,0.0,1.6098296384141682,1.9259028277979953,0.39017036158583196,0.0
26,3.0,-0.0,-0.08667968661044334,1.794377470232768,-0.9133203133895567,0.0
27,1.0,0.0,1.318320045564921,2.174292734119267,-0.3183200455649212,0.0
28,3.0,-0.0,-1.119992084736483,1.5909111861764067,0.11999208473648315,0.0
29,1.0,-0.0,-0.9178883764178182,2.7611812293588147,-0.08211162358218181,0.0
30,3.0,-0.0,-1.9564497184792704,-0.14338589435951632,-0.043550281520729574,0.0
31,3.0,0.0,1.211169489692051,2.3035574733161024,-0.21116948969205102,0.0
32,1.0,-0.0,-1.0737674955424321,1.0113832993947,-0.9262325044575678,0.0
33,3.0,-0.0,-0.6294266075560881,2.282755431268153,-0.37057339244391185,0.0
34,1.0,0.0,0.36946316785676914,2.709031869146251,-0.36946316785676914,0.0
35,3.0,0.0,1.7858371855808666,1.6963483617655313,0.21416281441913343,0.0
36,3.0,-0.0,-2.034105318436036,1.9066519798664472,0.03410531843603585,0.0
37,3.0,-0.0,-2.0534706800542604,1.8807346508615759,0.05347068005426047,0.0
38,1.0,0.0,1.3154809570635895,2.4491787387970456,-0.31548095706358953,0.0
39,3.0,-0.0,-1.6606040387828604,-1.011830497373562,0.6606040387828604,0.0
40,3.0,-0.0,-1.4116837877429818,2.1103837534984975,0.4116837877429818,0.0
41,3.0,-0.0,-1.950321304976175,-0.9417025876936074,-0.049678695023825034,0.0
42,3.0,-0.0,-2.0339430712976814,-0.2513277185493917,0.033943071297681586,0.0
43,3.0,-0.0,-1.900539142819613,2.5140790850668333,-0.0994608571803869,0.0
44,3.0,0.0,0.24259897686893084,1.7606712242562421,0.7574010231310692,0.0
45,1.0,0.0,0.7943980442181698,-1.1945468431503818,0.2056019557818302,0.0
46,1.0,0.0,0.9116790148740138,0.8626493469392812,0.0883209851259862,0.0
47,1.0,-0.0,-0.007651771750781624,0.5115363873499253,0.007651771750781624,0.0
48,3.0,0.0,1.6440693689736774,2.2544885777735275,0.3559306310263226,0.0
49,3.0,-0.0,-0.28888871237242697,0.909252438328674,0.28888871237242697,0.0
