,A,B,C,D
0,0.5063982596865263,0.12844356578472993,-0.6017123025599812,1.3779546939017964
1,6.566043408266665,-0.20144802371507475,0.02056731556431826,6.76749143198174
2,2.1252804539059253,-0.371384827577818,1.1047177911258843,4.496665281483743
3,-0.30708257316156384,-0.07420953346573678,-1.2608467442471745,-0.23287303969582707
4,1.399105622635977,1.7808917161716216,-0.2738600469895456,-0.3817860935356445
5,0.5251126117895764,0.039067919215758695,1.763841382529281,1.4860446925738175
6,0.4740504729207705,-0.3036927791959679,-0.2426523965241808,2.7777432521167387
7,4.38741946756537,-0.13839540003989306,3.193025208009556,4.525814867605263
8,2.373074043361208,0.32481292196116074,1.7972113947799353,3.048261121400047
9,1.6114992916234883,0.7830314397868073,0.47164287786517345,0.8284678518366809
10,0.9049093025974312,0.13091108247230493,-0.18975752498207124,2.7739982201251263
11,0.5252199763483778,-0.33163084687043276,1.9159243642000419,0.8568508232188106
12,0.4124802121986926,0.5765275840502256,-0.581776295399512,0.8359526281484669
13,-0.6894713569191648,1.7727244806207354,-0.12605732725420377,-2.4621958375399
14,2.995086424866838,0.1356536278654692,1.5984086147761158,3.859432797001369
15,2.1587621491130395,0.5799425016335914,1.0946592651063605,1.578819647479448
16,-0.1515519365855993,0.6228774782795266,-0.8761148703492596,-0.7744294148651258
17,-0.42763077289084084,-0.5940918339183945,-0.9480158282266802,1.1664610610275536
18,6.8740018684691195,-0.49532424616586984,1.3824181635721955,8.369326114634989
19,3.449718288947166,1.43862104812156,1.016011088838232,3.0110972408256056
20,0.47807084950794543,0.18836451183724037,-0.37517976439122425,1.2897063376707052
21,-1.5408232055194746,-0.1307615415154343,-0.8013844307927529,-0.4100616640040403
22,1.03907278059917,0.166820267907562,0.15836484877784074,1.8722525126916083
23,0.3461875929298719,0.548875682365459,-0.4392782169720201,0.7973119105644129
24,4.1264512908979345,0.1144120711884048,2.4075881700231374,4.012039219709529
25,2.547689217234402,-0.08397022821841682,1.016068483436757,2.631659445452819
26,2.534887151393855,0.0803108424024842,0.5419877086515196,2.454576308991371
27,0.28913085103351777,0.7585122061151607,-0.7357498432172345,1.530618644918357
28,1.6296961480531087,0.3335524457354261,0.7022901359496861,2.2961437023176825
29,2.802973565371099,0.21489045486178093,1.7872316644789914,2.5880831105093183
30,1.2459019575060002,-0.28623738726057335,0.3320754676701192,1.5321393447665734
31,3.91028432276289,-0.283585417385231,2.234813924212574,4.193869740148121
32,2.7932452492253104,0.4374415894202438,2.0322334272822498,2.3558036598050665
33,-1.2900346146762052,0.14117934898962015,0.5651171482267185,0.5687860363341747
34,1.4334916280906376,0.4483565220015875,0.3326725331745111,2.98513510608905
35,2.9455480642669616,-0.22103579587397693,1.3159954694630702,3.1665838601409386
36,-0.2054411231809209,0.2901414751103781,-0.3239804721005701,0.5044174017087011
